Infection,Population,Date,Day,Cases,Deaths
0.000158801699656576,396721,19-Mar-2020 16:57:33,1,63,0
0.000262148837528315,-1,20-Mar-2020 16:57:33,2,104,1
0.00038314060869523,-1,21-Mar-2020 16:57:33,3,152,2
0.00059235554633802,-1,22-Mar-2020 16:57:33,4,235,2
0.000821735779175296,-1,23-Mar-2020 16:57:33,5,326,5
0.0010107854216236,-1,24-Mar-2020 16:57:33,6,401,6
0.00128049624484985,-1,25-Mar-2020 16:57:33,7,508,8
0.00167624016304163,-1,26-Mar-2020 16:57:33,8,665,13
0.00194847164816719,-1,27-Mar-2020 16:57:33,9,773,15
0.00231648828546656,-1,28-Mar-2020 16:57:33,10,919,17
0.00291640581750251,-1,29-Mar-2020 16:57:33,11,1157,20
0.00324913318821152,-1,30-Mar-2020 16:57:33,12,1289,24
0.00356169526372605,-1,31-Mar-2020 16:57:33,13,1413,29
0.00402801771509854,-1,01-Apr-2020 16:57:33,14,1598,32
0.00445905089988067,-1,02-Apr-2020 16:57:33,15,1769,41
0.00508921637470835,-1,03-Apr-2020 16:57:33,16,2019,52
0.00571938184953603,-1,04-Apr-2020 16:57:33,17,2269,64
0.00619074562470714,-1,05-Apr-2020 16:57:33,18,2456,65
0.00649070439072511,-1,06-Apr-2020 16:57:33,19,2575,73
0.00687132433752103,-1,07-Apr-2020 16:57:33,20,2726,80
0.00760735761211976,-1,08-Apr-2020 16:57:33,21,3018,89
0.00784429983065497,-1,09-Apr-2020 16:57:33,22,3112,97
0.00855260582436129,-1,10-Apr-2020 16:57:33,23,3393,108
0.00892062246166065,-1,11-Apr-2020 16:57:33,24,3539,115
0.0093314903512483,-1,12-Apr-2020 16:57:33,25,3702,122
0.00959363918877662,-1,13-Apr-2020 16:57:33,26,3806,131
0.00998686244506909,-1,14-Apr-2020 16:57:33,27,3962,142
0.0106724824816816,-1,15-Apr-2020 16:57:33,28,4234,150
0.0113606231801934,-1,16-Apr-2020 16:57:33,29,4507,169
0.0118950035028473,-1,17-Apr-2020 16:57:33,30,4719,177
0.0124243425017026,-1,18-Apr-2020 16:57:33,31,4929,184
0.0127646318581095,-1,19-Apr-2020 16:57:33,32,5064,187
