Infection,Population,Date,Day,Cases,Deaths
0.000175903065407035,545755,23-Mar-2020 16:57:38,1,96,0
0.000291339452080402,-1,24-Mar-2020 16:57:38,2,159,0
0.000355470778010051,-1,25-Mar-2020 16:57:38,3,194,0
0.000408608162351759,-1,26-Mar-2020 16:57:38,4,223,5
0.000599169816542715,-1,27-Mar-2020 16:57:38,5,327,8
0.00076041429316583,-1,28-Mar-2020 16:57:38,6,415,10
0.00113237598355779,-1,29-Mar-2020 16:57:38,7,618,12
0.00160328314824121,-1,30-Mar-2020 16:57:38,8,875,19
0.00185431148116583,-1,31-Mar-2020 16:57:38,9,1012,21
0.00236552976500503,-1,01-Apr-2020 16:57:38,10,1291,27
0.00279246116333669,-1,02-Apr-2020 16:57:38,11,1524,33
0.00365182093079398,-1,03-Apr-2020 16:57:38,12,1993,34
0.00471090397043217,-1,04-Apr-2020 16:57:38,13,2571,36
0.00573150821451257,-1,05-Apr-2020 16:57:38,14,3128,69
0.00651757503805026,-1,06-Apr-2020 16:57:38,15,3557,85
0.00700680543871358,-1,07-Apr-2020 16:57:38,16,3824,112
0.00900587048412062,-1,08-Apr-2020 16:57:38,17,4915,132
0.00966733930299499,-1,09-Apr-2020 16:57:38,18,5276,165
0.010398436418593,-1,10-Apr-2020 16:57:38,19,5675,189
0.0126540267677186,-1,11-Apr-2020 16:57:38,20,6906,206
0.0142573099159598,-1,12-Apr-2020 16:57:38,21,7781,277
0.0160896335139498,-1,13-Apr-2020 16:57:38,22,8781,335
0.0179274540827337,-1,14-Apr-2020 16:57:38,23,9784,380
0.0193090260756181,-1,15-Apr-2020 16:57:38,24,10538,448
0.0210900446128644,-1,16-Apr-2020 16:57:38,25,11510,494
0.0220520145018091,-1,17-Apr-2020 16:57:38,26,12035,554
0.0245183220647036,-1,18-Apr-2020 16:57:38,27,13381,602
0.0256323748122814,-1,19-Apr-2020 16:57:38,28,13989,671
0.0270359346883417,-1,20-Apr-2020 16:57:38,29,14755,868
0.0291046280304724,-1,21-Apr-2020 16:57:38,30,15884,971
0.0307995273586131,-1,22-Apr-2020 16:57:38,31,16809,1036
0.0321572791447237,-1,23-Apr-2020 16:57:38,32,17550,1086
0.0329121964670955,-1,24-Apr-2020 16:57:38,33,17962,1127
0.0363074920941709,-1,25-Apr-2020 16:57:38,34,19815,1331
0.0373061084550754,-1,26-Apr-2020 16:57:38,35,20360,1423
0.0411704789232362,-1,27-Apr-2020 16:57:38,36,22469,1544
0.0423266751135679,-1,28-Apr-2020 16:57:38,37,23100,1639
0.0438310127875177,-1,29-Apr-2020 16:57:38,38,23921,1764
0.045042178685789,-1,30-Apr-2020 16:57:38,39,24582,1862
0.0463009849976081,-1,01-May-2020 16:57:38,40,25269,1924
0.0476349165769448,-1,02-May-2020 16:57:38,41,25997,2012
0.0482120985103116,-1,03-May-2020 16:57:38,42,26312,2089
0.0490458057473971,-1,04-May-2020 16:57:38,43,26767,2168
0.0507553636643217,-1,05-May-2020 16:57:38,44,27700,2257
0.052704955972583,-1,06-May-2020 16:57:38,45,28764,2339
0.0536632612143317,-1,07-May-2020 16:57:38,46,29287,2436
0.0549202352025528,-1,08-May-2020 16:57:38,47,29973,2556
0.0561075808940503,-1,09-May-2020 16:57:38,48,30621,2633
0.0571904841404624,-1,10-May-2020 16:57:38,49,31212,2708
0.0582733873868745,-1,11-May-2020 16:57:38,50,31803,2783
0.0593562906332865,-1,12-May-2020 16:57:38,51,32394,2858
0.0604373615561006,-1,13-May-2020 16:57:38,52,32984,2932
0.0614817860069549,-1,14-May-2020 16:57:38,53,33554,2967
0.0618684062861307,-1,15-May-2020 16:57:38,54,33765,3008
0.062909166089789,-1,16-May-2020 16:57:38,55,34333,3041
0.0638656390079398,-1,17-May-2020 16:57:38,56,34855,3125
0.0649815240791157,-1,18-May-2020 16:57:38,57,35464,3219
0.0661193970334674,-1,19-May-2020 16:57:38,58,36085,3285
0.0672517730170252,-1,20-May-2020 16:57:38,59,36703,3339
0.068563716713186,-1,21-May-2020 16:57:38,60,37419,3408
0.069840846260985,-1,22-May-2020 16:57:38,61,38116,3449
0.0704161958707539,-1,23-May-2020 16:57:38,62,38430,3472
0.071491769822774,-1,24-May-2020 16:57:38,63,39017,3529
0.0718417436299901,-1,25-May-2020 16:57:38,64,39208,3582
0.0726333074243217,-1,26-May-2020 16:57:38,65,39640,3637
0.0733332550387539,-1,27-May-2020 16:57:38,66,40022,3675
0.0741504713634574,-1,28-May-2020 16:57:38,67,40468,3693
0.0748925624206433,-1,29-May-2020 16:57:38,68,40873,3742
0.075680461567779,-1,30-May-2020 16:57:38,69,41303,3769
0.0756529767138092,-1,31-May-2020 16:57:38,70,41288,3803
