Infection,Population,Date,Day,Cases,Deaths
0.000989774310509732,52537,27-Mar-2020 16:57:46,1,52,0
0.00156079795118842,-1,28-Mar-2020 16:57:46,2,82,0
0.00205568510644329,-1,29-Mar-2020 16:57:46,3,108,0
0.0025315381403422,-1,30-Mar-2020 16:57:46,4,133,0
0.00300739117424111,-1,31-Mar-2020 16:57:46,5,158,0
0.00352131245085193,-1,01-Apr-2020 16:57:46,6,185,1
0.00454915500407358,-1,02-Apr-2020 16:57:46,7,239,1
0.00565313404271905,-1,03-Apr-2020 16:57:46,8,297,2
0.00696648841628004,-1,04-Apr-2020 16:57:46,9,366,3
0.00824177454712912,-1,05-Apr-2020 16:57:46,10,433,4
0.00993581134780924,-1,06-Apr-2020 16:57:46,11,522,5
0.0109636539010309,-1,07-Apr-2020 16:57:46,12,576,6
0.0121247353037442,-1,08-Apr-2020 16:57:46,13,637,10
0.0137045673762886,-1,09-Apr-2020 16:57:46,14,720,12
0.016159969031207,-1,10-Apr-2020 16:57:46,15,849,13
0.0176826987396835,-1,11-Apr-2020 16:57:46,16,929,18
0.0201952027586697,-1,12-Apr-2020 16:57:46,17,1061,21
0.0205378169430769,-1,13-Apr-2020 16:57:46,18,1079,26
0.0230503209620632,-1,14-Apr-2020 16:57:46,19,1211,26
0.0255057226169816,-1,15-Apr-2020 16:57:46,20,1340,28
0.0278278854224082,-1,16-Apr-2020 16:57:46,21,1462,31
0.0304355600481743,-1,17-Apr-2020 16:57:46,22,1599,36
0.033157439402076,-1,18-Apr-2020 16:57:46,23,1742,39
0.0365264788820803,-1,19-Apr-2020 16:57:46,24,1919,43
0.0404094396386954,-1,20-Apr-2020 16:57:46,25,2123,47
0.0419702375898838,-1,21-Apr-2020 16:57:46,26,2205,53
0.0435500696624282,-1,22-Apr-2020 16:57:46,27,2288,56
0.0486702483071805,-1,23-Apr-2020 16:57:46,28,2557,62
0.0515634347532859,-1,24-Apr-2020 16:57:46,29,2709,67
0.0603381646983818,-1,25-Apr-2020 16:57:46,30,3170,75
0.066333912925508,-1,26-Apr-2020 16:57:46,31,3485,80
0.0756225641472147,-1,27-Apr-2020 16:57:46,32,3973,88
0.0775830786468783,-1,28-Apr-2020 16:57:46,33,4076,95
0.0808188792773908,-1,29-Apr-2020 16:57:46,34,4246,101
0.0917254308143539,-1,30-Apr-2020 16:57:46,35,4819,108
0.105391929947931,-1,01-May-2020 16:57:46,36,5537,118
0.11424279637845,-1,02-May-2020 16:57:46,37,6002,123
0.122636843896427,-1,03-May-2020 16:57:46,38,6443,129
0.133924077860509,-1,04-May-2020 16:57:46,39,7036,137
0.146619836804932,-1,05-May-2020 16:57:46,40,7703,147
0.152672687396126,-1,06-May-2020 16:57:46,41,8021,159
0.167919018602247,-1,07-May-2020 16:57:46,42,8822,172
0.177759659343277,-1,08-May-2020 16:57:46,43,9339,181
0.189161098035495,-1,09-May-2020 16:57:46,44,9938,192
0.198487817499913,-1,10-May-2020 16:57:46,45,10428,197
0.205758851857889,-1,11-May-2020 16:57:46,46,10810,212
0.211659429478235,-1,12-May-2020 16:57:46,47,11120,229
0.217978757768413,-1,13-May-2020 16:57:46,48,11452,239
0.225573372189439,-1,14-May-2020 16:57:46,49,11851,248
0.23404355619284,-1,15-May-2020 16:57:46,50,12296,261
0.237888448706743,-1,16-May-2020 16:57:46,51,12498,272
0.244169708754209,-1,17-May-2020 16:57:46,52,12828,285
0.252582790393541,-1,18-May-2020 16:57:46,53,13270,303
0.262518601741351,-1,19-May-2020 16:57:46,54,13792,318
0.270075147919665,-1,20-May-2020 16:57:46,55,14189,331
0.276946465729166,-1,21-May-2020 16:57:46,56,14550,345
0.285093069669515,-1,22-May-2020 16:57:46,57,14978,362
0.290080009464775,-1,23-May-2020 16:57:46,58,15240,368
0.296151894177326,-1,24-May-2020 16:57:46,59,15559,379
0.301291106943434,-1,25-May-2020 16:57:46,60,15829,390
0.306544524437678,-1,26-May-2020 16:57:46,61,16105,406
0.311017542956327,-1,27-May-2020 16:57:46,62,16340,423
0.318288577314303,-1,28-May-2020 16:57:46,63,16722,435
0.326359044769228,-1,29-May-2020 16:57:46,64,17146,445
0.335514457141443,-1,30-May-2020 16:57:46,65,17627,464
