Infection,Population,Date,Day,Cases,Deaths
0.00274761905845584,421820,24-Mar-2020 16:57:50,1,1159,17
0.00435731132825007,-1,25-Mar-2020 16:57:50,2,1838,26
0.00572993551707313,-1,26-Mar-2020 16:57:50,3,2417,33
0.00768100582346585,-1,27-Mar-2020 16:57:50,4,3240,42
0.0100919882069426,-1,28-Mar-2020 16:57:50,5,4257,57
0.0117467234121214,-1,29-Mar-2020 16:57:50,6,4955,63
0.0136361560174616,-1,30-Mar-2020 16:57:50,7,5752,72
0.0156939069602913,-1,31-Mar-2020 16:57:50,8,6620,97
0.018344328105549,-1,01-Apr-2020 16:57:50,9,7738,125
0.0212555241398749,-1,02-Apr-2020 16:57:50,10,8966,153
0.0246598217826209,-1,03-Apr-2020 16:57:50,11,10402,189
0.0278223099827763,-1,04-Apr-2020 16:57:50,12,11736,231
0.029633510121396,-1,05-Apr-2020 16:57:50,13,12500,268
0.0328031103639805,-1,06-Apr-2020 16:57:50,14,13837,306
0.036039089669237,-1,07-Apr-2020 16:57:50,15,15202,374
0.0398037307950591,-1,08-Apr-2020 16:57:50,16,16790,454
0.044903065216749,-1,09-Apr-2020 16:57:50,17,18941,525
0.0497226593028928,-1,10-Apr-2020 16:57:50,18,20974,625
0.054193763310009,-1,11-Apr-2020 16:57:50,19,22860,737
0.0603930936274051,-1,12-Apr-2020 16:57:50,20,25475,845
0.0636930813145237,-1,13-Apr-2020 16:57:50,21,26867,965
0.0667654836439101,-1,14-Apr-2020 16:57:50,22,28163,1078
0.0709260284649541,-1,15-Apr-2020 16:57:50,23,29918,1240
0.0762908791373316,-1,16-Apr-2020 16:57:50,24,32181,1361
0.0815561612157013,-1,17-Apr-2020 16:57:50,25,34402,1536
0.0862264024108333,-1,18-Apr-2020 16:57:50,26,36372,1710
0.0902684131913917,-1,19-Apr-2020 16:57:50,27,38077,1880
0.0939808993394002,-1,20-Apr-2020 16:57:50,28,39643,2048
0.0976696786793115,-1,21-Apr-2020 16:57:50,29,41199,2224
0.101806516692258,-1,22-Apr-2020 16:57:50,30,42944,2396
0.109105842905361,-1,23-Apr-2020 16:57:50,31,46023,2557
0.120831230190195,-1,24-Apr-2020 16:57:50,32,50969,2709
0.126471079836499,-1,25-Apr-2020 16:57:50,33,53348,2899
0.13024046232394,-1,26-Apr-2020 16:57:50,34,54938,3096
0.133853379877941,-1,27-Apr-2020 16:57:50,35,56462,3245
0.13821543256781,-1,28-Apr-2020 16:57:50,36,58302,3397
0.142869078997274,-1,29-Apr-2020 16:57:50,37,60265,3558
0.147468199768115,-1,30-Apr-2020 16:57:50,38,62205,3701
0.152460853553368,-1,01-May-2020 16:57:50,39,64311,3878
0.157088422493925,-1,02-May-2020 16:57:50,40,66263,4018
0.161412544290839,-1,03-May-2020 16:57:50,41,68087,4194
0.163783225100551,-1,04-May-2020 16:57:50,42,69087,4334
0.16659011117925,-1,05-May-2020 16:57:50,43,70271,4474
0.170748285319484,-1,06-May-2020 16:57:50,44,72025,4606
0.174768959972755,-1,07-May-2020 16:57:50,45,73721,4743
0.17859049743801,-1,08-May-2020 16:57:50,46,75333,4881
0.181933157379704,-1,09-May-2020 16:57:50,47,76743,5011
0.184422372229901,-1,10-May-2020 16:57:50,48,77793,5120
0.186008357691598,-1,11-May-2020 16:57:50,49,78462,5225
0.188070849996047,-1,12-May-2020 16:57:50,50,79332,5348
0.190832693139361,-1,13-May-2020 16:57:50,51,80497,5474
0.194827290303725,-1,14-May-2020 16:57:50,52,82182,5587
0.197764563826958,-1,15-May-2020 16:57:50,53,83421,5699
0.201349033211242,-1,16-May-2020 16:57:50,54,84933,5797
0.203902256443302,-1,17-May-2020 16:57:50,55,86010,5914
0.206372505847021,-1,18-May-2020 16:57:50,56,87052,6000
0.2084421101939,-1,19-May-2020 16:57:50,57,87925,6079
0.210919471640048,-1,20-May-2020 16:57:50,58,88970,6169
0.213560410062067,-1,21-May-2020 16:57:50,59,90084,6239
0.215468808113885,-1,22-May-2020 16:57:50,60,90889,6320
0.217301344379792,-1,23-May-2020 16:57:50,61,91662,6384
0.21970284404003,-1,24-May-2020 16:57:50,62,92675,6464
0.221115769802618,-1,25-May-2020 16:57:50,63,93271,6529
0.222116197104317,-1,26-May-2020 16:57:50,64,93693,6585
0.223365545891035,-1,27-May-2020 16:57:50,65,94220,6641
0.22496575543759,-1,28-May-2020 16:57:50,66,94895,6707
0.226428465497182,-1,29-May-2020 16:57:50,67,95512,6767
0.228298932656045,-1,30-May-2020 16:57:50,68,96301,6811
0.229873064713693,-1,31-May-2020 16:57:50,69,96965,6856
