Infection,Population,Date,Day,Cases,Deaths
0.000123729362575045,646572,17-Mar-2020 15:23:32,1,80,1
0.000516570088750814,-1,18-Mar-2020 15:23:32,2,334,3
0.000849092750671248,-1,19-Mar-2020 15:23:32,3,549,3
0.00121718760433201,-1,20-Mar-2020 15:23:32,4,787,5
0.00160074862831465,-1,21-Mar-2020 15:23:32,5,1035,8
0.00205390741874575,-1,22-Mar-2020 15:23:32,6,1328,15
0.00276999110464883,-1,23-Mar-2020 15:23:32,7,1791,24
0.00354948608887161,-1,24-Mar-2020 15:23:32,8,2295,43
0.00441713824392912,-1,25-Mar-2020 15:23:32,9,2856,60
0.00565597848671176,-1,26-Mar-2020 15:23:32,10,3657,92
0.0071917691996745,-1,27-Mar-2020 15:23:32,11,4650,111
0.00848474103858373,-1,28-Mar-2020 15:23:32,12,5486,132
0.0100499174751581,-1,29-Mar-2020 15:23:32,13,6498,184
0.0117774887001121,-1,30-Mar-2020 15:23:32,14,7615,259
0.0144361233784434,-1,31-Mar-2020 15:23:32,15,9334,337
0.0166895443943414,-1,01-Apr-2020 15:23:32,16,10791,417
0.0197100874582047,-1,02-Apr-2020 15:23:32,17,12744,479
0.0220006272828752,-1,03-Apr-2020 15:23:32,18,14225,540
0.024309726511932,-1,04-Apr-2020 15:23:32,19,15718,617
0.0266342919113107,-1,05-Apr-2020 15:23:32,20,17221,727
0.0293393251006076,-1,06-Apr-2020 15:23:32,21,18970,845
0.0314674701368984,-1,07-Apr-2020 15:23:32,22,20346,959
0.0332584526601722,-1,08-Apr-2020 15:23:32,23,21504,1076
0.0352365758443407,-1,09-Apr-2020 15:23:32,24,22783,1281
0.0371079824532883,-1,10-Apr-2020 15:23:32,25,23993,1392
0.0381055504390496,-1,11-Apr-2020 15:23:32,26,24638,1487
0.0396475276201411,-1,12-Apr-2020 15:23:32,27,25635,1602
0.04176020648611,-1,13-Apr-2020 15:23:32,28,27001,1768
0.0433965273061649,-1,14-Apr-2020 15:23:32,29,28059,1921
0.0452586542129194,-1,15-Apr-2020 15:23:32,30,29263,2093
0.0464340831573823,-1,16-Apr-2020 15:23:32,31,30023,2227
0.0476218850381027,-1,17-Apr-2020 15:23:32,32,30791,2308
0.0486008936194778,-1,18-Apr-2020 15:23:32,33,31424,2391
0.0494917450300181,-1,19-Apr-2020 15:23:32,34,32000,2468
0.050987323700144,-1,20-Apr-2020 15:23:32,35,32767,2700
0.0525323941152998,-1,21-Apr-2020 15:23:32,36,32767,2813
0.054581661682949,-1,22-Apr-2020 15:23:32,37,32767,2977
0.0566695946764029,-1,23-Apr-2020 15:23:32,38,32767,3085
0.0575387934484926,-1,24-Apr-2020 15:23:32,39,32767,3274
0.0584280982420007,-1,25-Apr-2020 15:23:32,40,32767,3315
0.059096236799906,-1,26-Apr-2020 15:23:32,41,32767,3407
0.0607232779177678,-1,27-Apr-2020 15:23:32,42,32767,3567
0.0624817814833657,-1,28-Apr-2020 15:23:32,43,32767,3670
0.06399746617491,-1,29-Apr-2020 15:23:32,44,32767,3789
0.0655085110153577,-1,30-Apr-2020 15:23:32,45,32767,3866
0.0668246821097497,-1,01-May-2020 15:23:32,46,32767,4020
0.0676706816263566,-1,02-May-2020 15:23:32,47,32767,4049
0.0679738185646655,-1,03-May-2020 15:23:32,48,32767,4135
0.0686651563780536,-1,04-May-2020 15:23:32,49,32767,4179
0.0696812837682011,-1,05-May-2020 15:23:32,50,32767,4250
0.0705968810512564,-1,06-May-2020 15:23:32,51,32767,4343
0.0716485806331443,-1,07-May-2020 15:23:32,52,32767,4393
0.0723136259569852,-1,08-May-2020 15:23:32,53,32767,4526
0.072904433663281,-1,09-May-2020 15:23:32,54,32767,4551
0.0735447331146069,-1,10-May-2020 15:23:32,55,32767,4584
0.0742700965027031,-1,11-May-2020 15:23:32,56,32767,4674
0.0748423448046127,-1,12-May-2020 15:23:32,57,32767,4714
0.0766843656899487,-1,13-May-2020 15:23:32,58,32767,4787
0.0774530343549461,-1,14-May-2020 15:23:32,59,32767,4825
0.0781103465936261,-1,15-May-2020 15:23:32,60,32767,4880
0.0790970882601621,-1,16-May-2020 15:23:32,61,32767,4891
0.0802926232260434,-1,17-May-2020 15:23:32,62,32767,4915
0.0809654016350452,-1,18-May-2020 15:23:32,63,32767,5017
0.0819846222592572,-1,19-May-2020 15:23:32,64,32767,5060
0.0827594773923834,-1,20-May-2020 15:23:32,65,32767,5129
0.0833827640563552,-1,21-May-2020 15:23:32,66,32767,5158
0.0840818349549042,-1,22-May-2020 15:23:32,67,32767,5223
0.0845674727030112,-1,23-May-2020 15:23:32,68,32767,5228
0.0848798893435132,-1,24-May-2020 15:23:32,69,32767,5240
0.0852247849416912,-1,25-May-2020 15:23:32,70,32767,5266
0.0860042799259139,-1,26-May-2020 15:23:32,71,32767,5334
0.0866322064409823,-1,27-May-2020 15:23:32,72,32767,5372
0.0875710029795205,-1,28-May-2020 15:23:32,73,32767,5406
0.0879777632589859,-1,29-May-2020 15:23:32,74,32767,5463
0.0887711777964984,-1,30-May-2020 15:23:32,75,32767,5491
0.0889799710958438,-1,31-May-2020 15:23:32,76,32767,5516
0.0892877478852492,-1,01-Jun-2020 15:23:32,77,32767,5553
0.0897579194630344,-1,02-Jun-2020 15:23:32,78,32767,5570
0.0900765225716651,-1,03-Jun-2020 15:23:32,79,32767,5595
0.0905157618088065,-1,04-Jun-2020 15:23:32,80,32767,5615
0.0908622040240167,-1,05-Jun-2020 15:23:32,81,32767,5652
0.0910493446849114,-1,06-Jun-2020 15:23:32,82,32767,5656
0.0912488582820637,-1,07-Jun-2020 15:23:32,83,32767,5673
0.09141589292154,-1,08-Jun-2020 15:23:32,84,32767,5698
0.0916803644340441,-1,09-Jun-2020 15:23:32,85,32767,5711
0.0920175269470612,-1,10-Jun-2020 15:23:32,86,32767,5738
0.0922108540760847,-1,11-Jun-2020 15:23:32,87,32767,5745
0.0924892451418785,-1,12-Jun-2020 15:23:32,88,32767,5767
0.0927815557609621,-1,13-Jun-2020 15:23:32,89,32767,5770
0.092896005421344,-1,14-Jun-2020 15:23:32,90,32767,5772
0.0930893325503675,-1,15-Jun-2020 15:23:32,91,32767,5790
0.0934048424249338,-1,16-Jun-2020 15:23:32,92,32767,5792
0.0937528312571762,-1,17-Jun-2020 15:23:32,93,32767,5818
0.0940791674509678,-1,18-Jun-2020 15:23:32,94,32767,5823
0.0944735547941758,-1,19-Jun-2020 15:23:32,95,32767,5843
0.0946993608808753,-1,20-Jun-2020 15:23:32,96,32767,5846
0.0949762053296369,-1,21-Jun-2020 15:23:32,97,32767,5853
0.0953180076937505,-1,22-Jun-2020 15:23:32,98,32767,5864
0.0958175649951472,-1,23-Jun-2020 15:23:32,99,32767,5868
0.0963635208075096,-1,24-Jun-2020 15:23:32,100,32767,5886
