Infection,Population,Date,Day,Cases,Deaths
0.000554444766387354,389579,11-Mar-2020 16:57:57,1,216,0
0.000834234023499491,-1,12-Mar-2020 16:57:57,2,325,0
0.00108065391967165,-1,13-Mar-2020 16:57:57,3,421,0
0.00157349371201596,-1,14-Mar-2020 16:57:57,4,613,2
0.00187125108655732,-1,15-Mar-2020 16:57:57,5,729,3
0.00243853022253697,-1,16-Mar-2020 16:57:57,6,950,7
0.003526884763964,-1,17-Mar-2020 16:57:57,7,1374,12
0.00611429367377165,-1,18-Mar-2020 16:57:57,8,2382,16
0.0106576605094458,-1,19-Mar-2020 16:57:57,9,4152,38
0.0182299385689027,-1,20-Mar-2020 16:57:57,10,7102,46
0.0265825462995715,-1,21-Mar-2020 16:57:57,11,10356,58
0.0389343435952009,-1,22-Mar-2020 16:57:57,12,15168,76
0.0535834930478519,-1,23-Mar-2020 16:57:57,13,20875,157
0.0658788191172752,-1,24-Mar-2020 16:57:57,14,25665,271
0.0790879523016702,-1,25-Mar-2020 16:57:57,15,30811,285
0.0956365884539816,-1,26-Mar-2020 16:57:57,16,37258,385
0.114572417350461,-1,27-Mar-2020 16:57:57,17,44635,519
0.134293709665989,-1,28-Mar-2020 16:57:57,18,52318,728
0.152762367509308,-1,29-Mar-2020 16:57:57,19,59513,965
0.170689414955833,-1,30-Mar-2020 16:57:57,20,66497,1218
0.194556208649674,-1,31-Mar-2020 16:57:57,21,75795,1550
0.214878149462121,-1,01-Apr-2020 16:57:57,22,83712,1941
0.237130379461251,-1,02-Apr-2020 16:57:57,23,92381,2373
0.264036351874548,-1,03-Apr-2020 16:57:57,24,102863,2935
0.291863832024573,-1,04-Apr-2020 16:57:57,25,113704,3565
0.313238191143589,-1,05-Apr-2020 16:57:57,26,122031,4159
0.335462185529615,-1,06-Apr-2020 16:57:57,27,130689,4758
0.356374507343309,-1,07-Apr-2020 16:57:57,28,138836,5489
0.383275346008769,-1,08-Apr-2020 16:57:57,29,149316,6268
0.410538113896733,-1,09-Apr-2020 16:57:57,30,159937,7067
0.437682805584447,-1,10-Apr-2020 16:57:57,31,170512,7844
0.46321293357745,-1,11-Apr-2020 16:57:57,32,180458,8627
0.484353707169886,-1,12-Apr-2020 16:57:57,33,188694,9385
0.500619987191167,-1,13-Apr-2020 16:57:57,34,195031,10056
0.519042441303954,-1,14-Apr-2020 16:57:57,35,202208,10834
0.548743739414454,-1,15-Apr-2020 16:57:57,36,213779,11586
0.570575002090956,-1,16-Apr-2020 16:57:57,37,222284,12192
0.589462060382985,-1,17-Apr-2020 16:57:57,38,229642,12822
0.607661196464866,-1,18-Apr-2020 16:57:57,39,236732,13362
0.623201051167223,-1,19-Apr-2020 16:57:57,40,242786,13869
0.635332097305864,-1,20-Apr-2020 16:57:57,41,247512,14357
0.64605649653719,-1,21-Apr-2020 16:57:57,42,251690,14828
0.6602410418106,-1,22-Apr-2020 16:57:57,43,257216,15302
0.676268602557464,-1,23-Apr-2020 16:57:57,44,263460,15740
0.697137287514544,-1,24-Apr-2020 16:57:57,45,271590,16162
0.724225507976052,-1,25-Apr-2020 16:57:57,46,282143,16599
0.739375197842803,-1,26-Apr-2020 16:57:57,47,288045,16966
0.749516916694638,-1,27-Apr-2020 16:57:57,48,291996,17303
0.757499894581048,-1,28-Apr-2020 16:57:57,49,295106,17638
0.769269011497187,-1,29-Apr-2020 16:57:57,50,299691,18015
0.781284548309499,-1,30-Apr-2020 16:57:57,51,304372,18321
0.791403165296068,-1,01-May-2020 16:57:57,52,308314,18610
0.803372498377847,-1,02-May-2020 16:57:57,53,312977,18909
0.812197410909512,-1,03-May-2020 16:57:57,54,316415,19189
0.818712136914563,-1,04-May-2020 16:57:57,55,318953,19415
0.824459367617995,-1,05-May-2020 16:57:57,56,321192,19645
0.831610678354825,-1,06-May-2020 16:57:57,57,323978,20597
0.840571635204168,-1,07-May-2020 16:57:57,58,327469,20828
0.848113110776604,-1,08-May-2020 16:57:57,59,330407,21045
0.855082173465223,-1,09-May-2020 16:57:57,60,333122,21271
0.860916677881882,-1,10-May-2020 16:57:57,61,335395,21478
0.865177688586526,-1,11-May-2020 16:57:57,62,337055,21640
0.868848318289923,-1,12-May-2020 16:57:57,63,338485,21845
0.874433835936492,-1,13-May-2020 16:57:57,64,340661,22013
0.880568664601612,-1,14-May-2020 16:57:57,65,343051,22170
0.887658370364398,-1,15-May-2020 16:57:57,66,345813,22304
0.893867638373153,-1,16-May-2020 16:57:57,67,348232,22478
0.898716463205124,-1,17-May-2020 16:57:57,68,350121,22619
0.901925055603199,-1,18-May-2020 16:57:57,69,351371,22729
0.905708627759009,-1,19-May-2020 16:57:57,70,352845,22843
0.90962311048466,-1,20-May-2020 16:57:57,71,354370,22976
0.914982743226405,-1,21-May-2020 16:57:57,72,356458,23083
0.919336161392113,-1,22-May-2020 16:57:57,73,358154,23195
0.923884661975624,-1,23-May-2020 16:57:57,74,359926,23282
0.927963424632057,-1,24-May-2020 16:57:57,75,361515,23391
0.931169450156213,-1,25-May-2020 16:57:57,76,362764,23488
0.933921138996802,-1,26-May-2020 16:57:57,77,363836,23564
0.936819139650744,-1,27-May-2020 16:57:57,78,364965,23643
0.941357372738581,-1,28-May-2020 16:57:57,79,366733,23722
0.945338594186112,-1,29-May-2020 16:57:57,80,368284,23780
0.948870612697913,-1,30-May-2020 16:57:57,81,369660,23848
0.951719842747404,-1,31-May-2020 16:57:57,82,370770,23905
0.954135271104675,-1,01-Jun-2020 16:57:57,83,371711,23959
0.957546646542308,-1,02-Jun-2020 16:57:57,84,373040,24023
0.960229029787099,-1,03-Jun-2020 16:57:57,85,374085,24079
0.962919113653645,-1,04-Jun-2020 16:57:57,86,375133,24133
0.965678503115989,-1,05-Jun-2020 16:57:57,87,376208,24175
0.968522599417643,-1,06-Jun-2020 16:57:57,88,377316,24212
0.97052732794796,-1,07-Jun-2020 16:57:57,89,378097,24259
0.972329273438719,-1,08-Jun-2020 16:57:57,90,378799,24299
0.974082448325027,-1,09-Jun-2020 16:57:57,91,379482,24348
0.975812521346069,-1,10-Jun-2020 16:57:57,92,380156,24404
0.977701740550056,-1,11-Jun-2020 16:57:57,93,380892,24442
0.97981171091103,-1,12-Jun-2020 16:57:57,94,381714,24495
0.982162967420339,-1,13-Jun-2020 16:57:57,95,382630,24527
0.98394437791975,-1,14-Jun-2020 16:57:57,96,383324,24551
0.985535839749195,-1,15-Jun-2020 16:57:57,97,383944,24579
0.987155537191744,-1,16-Jun-2020 16:57:57,98,384575,24608
0.98861095470351,-1,17-Jun-2020 16:57:57,99,385142,24629
0.990197282785119,-1,18-Jun-2020 16:57:57,100,385760,24661
